rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
15577	PPT2	palmitoyl-protein thioesterase 2	328876	0	0	0	0	0	0	1.00	1.00
15578	PPTC7	PTC7 protein phosphatase homolog (S. cerevisiae)	239342	0	0	0	0	0	0	1.00	1.00
15579	PPY	pancreatic polypeptide	63867	0	0	0	0	0	0	1.00	1.00
15580	PQLC2	PQ loop repeat containing 2	245782	0	0	0	0	0	0	1.00	1.00
15581	PQLC3	PQ loop repeat containing 3	163227	0	0	0	0	0	0	1.00	1.00
15582	PRAC		33569	0	0	0	0	0	0	1.00	1.00
15583	PRAM1	PML-RARA regulated adaptor molecule 1	359395	0	0	0	0	0	0	1.00	1.00
15584	PRAMEF1	PRAME family member 1	404342	0	0	0	0	0	0	1.00	1.00
15585	PRAMEF11	PRAME family member 11	13447	0	0	0	0	0	0	1.00	1.00
15586	PRAMEF13	PRAME family member 13	140470	0	0	0	0	0	0	1.00	1.00
15587	PRAMEF14	PRAME family member 14	278656	0	0	0	0	0	0	1.00	1.00
15588	PRAMEF15	PRAME family member 15	127538	0	0	0	0	0	0	1.00	1.00
15589	PRAMEF16	PRAME family member 16	151367	0	0	0	0	0	0	1.00	1.00
15590	PRAMEF17	PRAME family member 17	159977	0	0	0	0	0	0	1.00	1.00
15591	PRAMEF18	PRAME family member 18	298479	0	0	0	0	0	0	1.00	1.00
15592	PRAMEF2	PRAME family member 2	446082	0	0	0	0	0	0	1.00	1.00
15593	PRAMEF21	PRAME family member 21	268631	0	0	0	0	0	0	1.00	1.00
15594	PRAMEF22		297257	0	0	0	0	0	0	1.00	1.00
15595	PRAMEF3	PRAME family member 3	132950	0	0	0	0	0	0	1.00	1.00
15596	PRAMEF5	PRAME family member 5	130208	0	0	0	0	0	0	1.00	1.00
15597	PRAMEF6	PRAME family member 6	288056	0	0	0	0	0	0	1.00	1.00
15598	PRAMEF7	PRAME family member 7	184677	0	0	0	0	0	0	1.00	1.00
15599	PRAMEF8	PRAME family member 8	309874	0	0	0	0	0	0	1.00	1.00
15600	PRAMEF9	PRAME family member 9	127538	0	0	0	0	0	0	1.00	1.00
15601	PRAP1	proline-rich acidic protein 1	58925	0	0	0	0	0	0	1.00	1.00
15602	PRB2	proline-rich protein BstNI subfamily 2	331972	0	0	0	0	0	0	1.00	1.00
15603	PRCC	papillary renal cell carcinoma (translocation-associated)	396722	0	0	0	0	0	0	1.00	1.00
15604	PRCD	progressive rod-cone degeneration	20181	0	0	0	0	0	0	1.00	1.00
15605	PRCP	prolylcarboxypeptidase (angiotensinase C)	528862	0	0	0	0	0	0	1.00	1.00
15606	PRDM10	PR domain containing 10	1200567	0	0	0	0	0	0	1.00	1.00
15607	PRDM11	PR domain containing 11	463753	0	0	0	0	0	0	1.00	1.00
15608	PRDM13	PR domain containing 13	169176	0	0	0	0	0	0	1.00	1.00
15609	PRDM4	PR domain containing 4	806794	0	0	0	0	0	0	1.00	1.00
15610	PRDM5	PR domain containing 5	604199	0	0	0	0	0	0	1.00	1.00
15611	PRDM6	PR domain containing 6	34361	0	0	0	0	0	0	1.00	1.00
15612	PRDM8	PR domain containing 8	251313	0	0	0	0	0	0	1.00	1.00
15613	PRDX1	peroxiredoxin 1	209484	0	0	0	0	0	0	1.00	1.00
15614	PRDX2	peroxiredoxin 2	131506	0	0	0	0	0	0	1.00	1.00
15615	PRDX3	peroxiredoxin 3	226983	0	0	0	0	0	0	1.00	1.00
15616	PRDX4	peroxiredoxin 4	229491	0	0	0	0	0	0	1.00	1.00
15617	PRDX5	peroxiredoxin 5	157911	0	0	0	0	0	0	1.00	1.00
15618	PRDX6	peroxiredoxin 6	230858	0	0	0	0	0	0	1.00	1.00
15619	PRELID1	PRELI domain containing 1	164335	0	0	0	0	0	0	1.00	1.00
15620	PRELID2	PRELI domain containing 2	174199	0	0	0	0	0	0	1.00	1.00
15621	PRG2	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	213199	0	0	0	0	0	0	1.00	1.00
15622	PRG3	proteoglycan 3	144601	0	0	0	0	0	0	1.00	1.00
15623	PRH1	proline-rich protein HaeIII subfamily 1	125436	0	0	0	0	0	0	1.00	1.00
15624	PRH2	proline-rich protein HaeIII subfamily 2	131549	0	0	0	0	0	0	1.00	1.00
15625	PRHOXNB	parahox cluster neighbor	49621	0	0	0	0	0	0	1.00	1.00
15626	PRICKLE3	prickle homolog 3 (Drosophila)	479817	0	0	0	0	0	0	1.00	1.00
15627	PRIM1	primase, DNA, polypeptide 1 (49kDa)	311872	0	0	0	0	0	0	1.00	1.00
15628	PRIM2	primase, DNA, polypeptide 2 (58kDa)	458567	0	0	0	0	0	0	1.00	1.00
15629	PRIMA1	proline rich membrane anchor 1	100640	0	0	0	0	0	0	1.00	1.00
15630	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	520987	0	0	0	0	0	0	1.00	1.00
15631	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	250729	0	0	0	0	0	0	1.00	1.00
15632	PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit	248425	0	0	0	0	0	0	1.00	1.00
15633	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	335348	0	0	0	0	0	0	1.00	1.00
15634	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	421463	0	0	0	0	0	0	1.00	1.00
15635	PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	361606	0	0	0	0	0	0	1.00	1.00
15636	PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	543938	0	0	0	0	0	0	1.00	1.00
15637	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	398471	0	0	0	0	0	0	1.00	1.00
15638	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	196684	0	0	0	0	0	0	1.00	1.00
15639	PRKCD	protein kinase C, delta	674454	0	0	0	0	0	0	1.00	1.00
15640	PRKCDBP	protein kinase C, delta binding protein	120442	0	0	0	0	0	0	1.00	1.00
15641	PRKCSH	protein kinase C substrate 80K-H	417292	0	0	0	0	0	0	1.00	1.00
15642	PRKG2	protein kinase, cGMP-dependent, type II	797419	0	0	0	0	0	0	1.00	1.00
15643	PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator	311148	0	0	0	0	0	0	1.00	1.00
15644	PRKX	protein kinase, X-linked	264154	0	0	0	0	0	0	1.00	1.00
15645	PRL	prolactin	243295	0	0	0	0	0	0	1.00	1.00
15646	PRLH	prolactin releasing hormone	59992	0	0	0	0	0	0	1.00	1.00
15647	PRM1	protamine 1	55777	0	0	0	0	0	0	1.00	1.00
15648	PRM2	protamine 2	85816	0	0	0	0	0	0	1.00	1.00
15649	PRM3	protamine 3	28841	0	0	0	0	0	0	1.00	1.00
15650	PRMT10		820585	0	0	0	0	0	0	1.00	1.00
15651	PRMT2	protein arginine methyltransferase 2	368039	0	0	0	0	0	0	1.00	1.00
15652	PRMT3	protein arginine methyltransferase 3	505439	0	0	0	0	0	0	1.00	1.00
15653	PRMT6	protein arginine methyltransferase 6	227031	0	0	0	0	0	0	1.00	1.00
15654	PRMT7	protein arginine methyltransferase 7	612653	0	0	0	0	0	0	1.00	1.00
15655	PRND	prion protein 2 (dublet)	167728	0	0	0	0	0	0	1.00	1.00
15656	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	225802	0	0	0	0	0	0	1.00	1.00
15657	PRODH	proline dehydrogenase (oxidase) 1	264652	0	0	0	0	0	0	1.00	1.00
15658	PROK1	prokineticin 1	105366	0	0	0	0	0	0	1.00	1.00
15659	PROK2	prokineticin 2	78875	0	0	0	0	0	0	1.00	1.00
15660	PROL1	proline rich, lacrimal 1	220983	0	0	0	0	0	0	1.00	1.00
15661	PROP1	PROP paired-like homeobox 1	211794	0	0	0	0	0	0	1.00	1.00
15662	PROSC	proline synthetase co-transcribed homolog (bacterial)	254545	0	0	0	0	0	0	1.00	1.00
15663	PROZ	protein Z, vitamin K-dependent plasma glycoprotein	273411	0	0	0	0	0	0	1.00	1.00
15664	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)	363589	0	0	0	0	0	0	1.00	1.00
15665	PRPF38A	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A	323319	0	0	0	0	0	0	1.00	1.00
15666	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	479929	0	0	0	0	0	0	1.00	1.00
15667	PRPH	peripherin	242206	0	0	0	0	0	0	1.00	1.00
15668	PRPS1	phosphoribosyl pyrophosphate synthetase 1	339195	0	0	0	0	0	0	1.00	1.00
15669	PRPS2	phosphoribosyl pyrophosphate synthetase 2	312210	0	0	0	0	0	0	1.00	1.00
15670	PRPSAP1	phosphoribosyl pyrophosphate synthetase-associated protein 1	331141	0	0	0	0	0	0	1.00	1.00
15671	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2	378815	0	0	0	0	0	0	1.00	1.00
15672	PRR12	proline rich 12	402192	0	0	0	0	0	0	1.00	1.00
15673	PRR13	proline rich 13	73846	0	0	0	0	0	0	1.00	1.00
15674	PRR14	proline rich 14	422624	0	0	0	0	0	0	1.00	1.00
15675	PRR15	proline rich 15	9109	0	0	0	0	0	0	1.00	1.00
15676	PRR18	proline rich region 18	4036	0	0	0	0	0	0	1.00	1.00
15677	PRR20A		31788	0	0	0	0	0	0	1.00	1.00
15678	PRR20B		31788	0	0	0	0	0	0	1.00	1.00
15679	PRR20C		31788	0	0	0	0	0	0	1.00	1.00
15680	PRR20D		31788	0	0	0	0	0	0	1.00	1.00
15681	PRR20E		31788	0	0	0	0	0	0	1.00	1.00
15682	PRR21		215512	0	0	0	0	0	0	1.00	1.00
15683	PRR22		10276	0	0	0	0	0	0	1.00	1.00
15684	PRR23A		4393	0	0	0	0	0	0	1.00	1.00
15685	PRR23B		154601	0	0	0	0	0	0	1.00	1.00
15686	PRR23C		8902	0	0	0	0	0	0	1.00	1.00
15687	PRR24		1914	0	0	0	0	0	0	1.00	1.00
15688	PRR25		36897	0	0	0	0	0	0	1.00	1.00
15689	PRR5	proline rich 5 (renal)	134910	0	0	0	0	0	0	1.00	1.00
15690	PRR5-ARHGAP8		434723	0	0	0	0	0	0	1.00	1.00
15691	PRR7	proline rich 7 (synaptic)	21166	0	0	0	0	0	0	1.00	1.00
15692	PRRC1	proline-rich coiled-coil 1	455267	0	0	0	0	0	0	1.00	1.00
15693	PRRG2	proline rich Gla (G-carboxyglutamic acid) 2	139644	0	0	0	0	0	0	1.00	1.00
15694	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	224222	0	0	0	0	0	0	1.00	1.00
15695	PRRT1	proline-rich transmembrane protein 1	143160	0	0	0	0	0	0	1.00	1.00
15696	PRRT2	proline-rich transmembrane protein 2	227224	0	0	0	0	0	0	1.00	1.00
15697	PRRT3	proline-rich transmembrane protein 3	377537	0	0	0	0	0	0	1.00	1.00
15698	PRRT4		19444	0	0	0	0	0	0	1.00	1.00
15699	PRRX2	paired related homeobox 2	81858	0	0	0	0	0	0	1.00	1.00
15700	PRSS1	protease, serine, 1 (trypsin 1)	256588	0	0	0	0	0	0	1.00	1.00
15701	PRSS12	protease, serine, 12 (neurotrypsin, motopsin)	761055	0	0	0	0	0	0	1.00	1.00
15702	PRSS22	protease, serine, 22	207523	0	0	0	0	0	0	1.00	1.00
15703	PRSS23	protease, serine, 23	364305	0	0	0	0	0	0	1.00	1.00
15704	PRSS33	protease, serine, 33	3982	0	0	0	0	0	0	1.00	1.00
15705	PRSS37		244426	0	0	0	0	0	0	1.00	1.00
15706	PRSS41		20499	0	0	0	0	0	0	1.00	1.00
15707	PRSS42		140400	0	0	0	0	0	0	1.00	1.00
15708	PRSS45		174393	0	0	0	0	0	0	1.00	1.00
15709	PRSS48		299795	0	0	0	0	0	0	1.00	1.00
15710	PRSS50		232231	0	0	0	0	0	0	1.00	1.00
15711	PRSS8	protease, serine, 8	261955	0	0	0	0	0	0	1.00	1.00
15712	PRSSL1	protease, serine-like 1	64852	0	0	0	0	0	0	1.00	1.00
15713	PRTG	protogenin homolog (Gallus gallus)	992318	0	0	0	0	0	0	1.00	1.00
15714	PSAPL1	prosaposin-like 1	283466	0	0	0	0	0	0	1.00	1.00
15715	PSCA	prostate stem cell antigen	49244	0	0	0	0	0	0	1.00	1.00
15716	PSEN1	presenilin 1 (Alzheimer disease 3)	487251	0	0	0	0	0	0	1.00	1.00
15717	PSEN2	presenilin 2 (Alzheimer disease 4)	456106	0	0	0	0	0	0	1.00	1.00
15718	PSG5	pregnancy specific beta-1-glycoprotein 5	340398	0	0	0	0	0	0	1.00	1.00
15719	PSG8	pregnancy specific beta-1-glycoprotein 8	417902	0	0	0	0	0	0	1.00	1.00
15720	PSIP1	PC4 and SFRS1 interacting protein 1	556804	0	0	0	0	0	0	1.00	1.00
15721	PSKH1	protein serine kinase H1	351257	0	0	0	0	0	0	1.00	1.00
15722	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	265018	0	0	0	0	0	0	1.00	1.00
15723	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	244363	0	0	0	0	0	0	1.00	1.00
15724	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	262550	0	0	0	0	0	0	1.00	1.00
15725	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	254752	0	0	0	0	0	0	1.00	1.00
15726	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	251386	0	0	0	0	0	0	1.00	1.00
15727	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	207945	0	0	0	0	0	0	1.00	1.00
15728	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	254410	0	0	0	0	0	0	1.00	1.00
15729	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	211324	0	0	0	0	0	0	1.00	1.00
15730	PSMB11	proteasome (prosome, macropain) subunit, beta type, 11	233810	0	0	0	0	0	0	1.00	1.00
15731	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	210763	0	0	0	0	0	0	1.00	1.00
15732	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	197172	0	0	0	0	0	0	1.00	1.00
15733	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	272360	0	0	0	0	0	0	1.00	1.00
15734	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	310741	0	0	0	0	0	0	1.00	1.00
15735	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	212245	0	0	0	0	0	0	1.00	1.00
15736	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	343435	0	0	0	0	0	0	1.00	1.00
15737	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	452583	0	0	0	0	0	0	1.00	1.00
15738	PSMC3IP	PSMC3 interacting protein	216173	0	0	0	0	0	0	1.00	1.00
15739	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	419406	0	0	0	0	0	0	1.00	1.00
15740	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	367857	0	0	0	0	0	0	1.00	1.00
15741	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	412328	0	0	0	0	0	0	1.00	1.00
15742	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	425848	0	0	0	0	0	0	1.00	1.00
15743	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	250192	0	0	0	0	0	0	1.00	1.00
15744	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	898312	0	0	0	0	0	0	1.00	1.00
15745	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	386814	0	0	0	0	0	0	1.00	1.00
15746	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	484301	0	0	0	0	0	0	1.00	1.00
15747	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	374732	0	0	0	0	0	0	1.00	1.00
15748	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	297161	0	0	0	0	0	0	1.00	1.00
15749	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	140229	0	0	0	0	0	0	1.00	1.00
15750	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	185555	0	0	0	0	0	0	1.00	1.00
15751	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	229676	0	0	0	0	0	0	1.00	1.00
15752	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	283978	0	0	0	0	0	0	1.00	1.00
15753	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	289957	0	0	0	0	0	0	1.00	1.00
15754	PSMG1	proteasome (prosome, macropain) assembly chaperone 1	232348	0	0	0	0	0	0	1.00	1.00
15755	PSMG2	proteasome (prosome, macropain) assembly chaperone 2	247188	0	0	0	0	0	0	1.00	1.00
15756	PSMG3	proteasome (prosome, macropain) assembly chaperone 3	100282	0	0	0	0	0	0	1.00	1.00
15757	PSMG4	proteasome (prosome, macropain) assembly chaperone 4	11428	0	0	0	0	0	0	1.00	1.00
15758	PSORS1C2	psoriasis susceptibility 1 candidate 2	119901	0	0	0	0	0	0	1.00	1.00
15759	PSPC1	paraspeckle component 1	424198	0	0	0	0	0	0	1.00	1.00
15760	PSPN	persephin	32751	0	0	0	0	0	0	1.00	1.00
15761	PSRC1	proline/serine-rich coiled-coil 1	286687	0	0	0	0	0	0	1.00	1.00
15762	PSTK	phosphoseryl-tRNA kinase	314216	0	0	0	0	0	0	1.00	1.00
15763	PTAFR	platelet-activating factor receptor	336821	0	0	0	0	0	0	1.00	1.00
15764	PTBP2	polypyrimidine tract binding protein 2	539992	0	0	0	0	0	0	1.00	1.00
15765	PTCD2	pentatricopeptide repeat domain 2	379456	0	0	0	0	0	0	1.00	1.00
15766	PTCD3	Pentatricopeptide repeat domain 3	720439	0	0	0	0	0	0	1.00	1.00
15767	PTDSS2	phosphatidylserine synthase 2	225683	0	0	0	0	0	0	1.00	1.00
15768	PTF1A	pancreas specific transcription factor, 1a	92000	0	0	0	0	0	0	1.00	1.00
15769	PTGER1	prostaglandin E receptor 1 (subtype EP1), 42kDa	30514	0	0	0	0	0	0	1.00	1.00
15770	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa	264141	0	0	0	0	0	0	1.00	1.00
15771	PTGER3	prostaglandin E receptor 3 (subtype EP3)	325794	0	0	0	0	0	0	1.00	1.00
15772	PTGER4	prostaglandin E receptor 4 (subtype EP4)	370273	0	0	0	0	0	0	1.00	1.00
15773	PTGES	prostaglandin E synthase	77176	0	0	0	0	0	0	1.00	1.00
15774	PTGES2	prostaglandin E synthase 2	218355	0	0	0	0	0	0	1.00	1.00
15775	PTGES3	prostaglandin E synthase 3 (cytosolic)	139605	0	0	0	0	0	0	1.00	1.00
15776	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)	147624	0	0	0	0	0	0	1.00	1.00
15777	PTGR2		366006	0	0	0	0	0	0	1.00	1.00
15778	PTH	parathyroid hormone	118722	0	0	0	0	0	0	1.00	1.00
15779	PTH1R		462016	0	0	0	0	0	0	1.00	1.00
15780	PTH2	parathyroid hormone 2	49211	0	0	0	0	0	0	1.00	1.00
15781	PTK7	PTK7 protein tyrosine kinase 7	996863	0	0	0	0	0	0	1.00	1.00
15782	PTMA	prothymosin, alpha	72781	0	0	0	0	0	0	1.00	1.00
15783	PTMS	parathymosin	70154	0	0	0	0	0	0	1.00	1.00
15784	PTOV1	prostate tumor overexpressed gene 1	237356	0	0	0	0	0	0	1.00	1.00
15785	PTP4A1	protein tyrosine phosphatase type IVA, member 1	174391	0	0	0	0	0	0	1.00	1.00
15786	PTP4A2	protein tyrosine phosphatase type IVA, member 2	177896	0	0	0	0	0	0	1.00	1.00
15787	PTP4A3	protein tyrosine phosphatase type IVA, member 3	61116	0	0	0	0	0	0	1.00	1.00
15788	PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	200753	0	0	0	0	0	0	1.00	1.00
15789	PTPLAD1	protein tyrosine phosphatase-like A domain containing 1	302232	0	0	0	0	0	0	1.00	1.00
15790	PTPLAD2	protein tyrosine phosphatase-like A domain containing 2	201873	0	0	0	0	0	0	1.00	1.00
15791	PTPLB	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	175758	0	0	0	0	0	0	1.00	1.00
15792	PTPMT1	protein tyrosine phosphatase, mitochondrial 1	126131	0	0	0	0	0	0	1.00	1.00
15793	PTPN1	protein tyrosine phosphatase, non-receptor type 1	433092	0	0	0	0	0	0	1.00	1.00
15794	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	616399	0	0	0	0	0	0	1.00	1.00
15795	PTPN14	protein tyrosine phosphatase, non-receptor type 14	1195582	0	0	0	0	0	0	1.00	1.00
15796	PTPN2	protein tyrosine phosphatase, non-receptor type 2	409450	0	0	0	0	0	0	1.00	1.00
15797	PTPN20A	protein tyrosine phosphatase, non-receptor type 20A	242412	0	0	0	0	0	0	1.00	1.00
15798	PTPN20B	protein tyrosine phosphatase, non-receptor type 20B	242412	0	0	0	0	0	0	1.00	1.00
15799	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	833862	0	0	0	0	0	0	1.00	1.00
15800	PTPN23	protein tyrosine phosphatase, non-receptor type 23	860105	0	0	0	0	0	0	1.00	1.00
15801	PTPN6	protein tyrosine phosphatase, non-receptor type 6	460667	0	0	0	0	0	0	1.00	1.00
15802	PTPN7	protein tyrosine phosphatase, non-receptor type 7	377486	0	0	0	0	0	0	1.00	1.00
15803	PTPN9	protein tyrosine phosphatase, non-receptor type 9	596781	0	0	0	0	0	0	1.00	1.00
15804	PTPRA	protein tyrosine phosphatase, receptor type, A	853780	0	0	0	0	0	0	1.00	1.00
15805	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	44765	0	0	0	0	0	0	1.00	1.00
15806	PTPRE	protein tyrosine phosphatase, receptor type, E	705156	0	0	0	0	0	0	1.00	1.00
15807	PTPRN	protein tyrosine phosphatase, receptor type, N	883927	0	0	0	0	0	0	1.00	1.00
15808	PTPRQ	protein tyrosine phosphatase, receptor type, Q	239195	0	0	0	0	0	0	1.00	1.00
15809	PTRH1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	75118	0	0	0	0	0	0	1.00	1.00
15810	PTRH2	peptidyl-tRNA hydrolase 2	180372	0	0	0	0	0	0	1.00	1.00
15811	PTS	6-pyruvoyltetrahydropterin synthase	127298	0	0	0	0	0	0	1.00	1.00
15812	PTTG1	pituitary tumor-transforming 1	211225	0	0	0	0	0	0	1.00	1.00
15813	PTTG2	pituitary tumor-transforming 2	172970	0	0	0	0	0	0	1.00	1.00
15814	PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	263705	0	0	0	0	0	0	1.00	1.00
15815	PTX4		252146	0	0	0	0	0	0	1.00	1.00
15816	PUF60	poly-U binding splicing factor 60KDa	109326	0	0	0	0	0	0	1.00	1.00
15817	PURB	purine-rich element binding protein B	99968	0	0	0	0	0	0	1.00	1.00
15818	PUS1	pseudouridylate synthase 1	257187	0	0	0	0	0	0	1.00	1.00
15819	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	678124	0	0	0	0	0	0	1.00	1.00
15820	PUS7L	pseudouridylate synthase 7 homolog (S. cerevisiae)-like	683763	0	0	0	0	0	0	1.00	1.00
15821	PUSL1	pseudouridylate synthase-like 1	2141	0	0	0	0	0	0	1.00	1.00
15822	PVALB	parvalbumin	111673	0	0	0	0	0	0	1.00	1.00
15823	PVR	poliovirus receptor	364658	0	0	0	0	0	0	1.00	1.00
15824	PVRIG	poliovirus receptor related immunoglobulin domain containing	199385	0	0	0	0	0	0	1.00	1.00
15825	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	475738	0	0	0	0	0	0	1.00	1.00
15826	PVRL3	poliovirus receptor-related 3	487564	0	0	0	0	0	0	1.00	1.00
15827	PWP1	PWP1 homolog (S. cerevisiae)	517382	0	0	0	0	0	0	1.00	1.00
15828	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	733135	0	0	0	0	0	0	1.00	1.00
15829	PWWP2A	PWWP domain containing 2A	379345	0	0	0	0	0	0	1.00	1.00
15830	PWWP2B	PWWP domain containing 2B	63067	0	0	0	0	0	0	1.00	1.00
15831	PXMP2	peroxisomal membrane protein 2, 22kDa	154020	0	0	0	0	0	0	1.00	1.00
15832	PXMP4	peroxisomal membrane protein 4, 24kDa	184379	0	0	0	0	0	0	1.00	1.00
15833	PXT1	peroxisomal, testis specific 1	72177	0	0	0	0	0	0	1.00	1.00
15834	PYCARD	PYD and CARD domain containing	149044	0	0	0	0	0	0	1.00	1.00
15835	PYCR1	pyrroline-5-carboxylate reductase 1	74418	0	0	0	0	0	0	1.00	1.00
15836	PYCR2	pyrroline-5-carboxylate reductase family, member 2	274614	0	0	0	0	0	0	1.00	1.00
15837	PYDC1	PYD (pyrin domain) containing 1	54799	0	0	0	0	0	0	1.00	1.00
15838	PYDC2		90266	0	0	0	0	0	0	1.00	1.00
15839	PYGB	phosphorylase, glycogen; brain	732751	0	0	0	0	0	0	1.00	1.00
15840	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	857166	0	0	0	0	0	0	1.00	1.00
15841	PYGO2	pygopus homolog 2 (Drosophila)	220462	0	0	0	0	0	0	1.00	1.00
15842	PYROXD2		583371	0	0	0	0	0	0	1.00	1.00
15843	ProSAPiP1		240318	0	0	0	0	0	0	1.00	1.00
15844	QKI	quaking homolog, KH domain RNA binding (mouse)	361912	0	0	0	0	0	0	1.00	1.00
15845	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	348573	0	0	0	0	0	0	1.00	1.00
15846	QPCTL	glutaminyl-peptide cyclotransferase-like	292930	0	0	0	0	0	0	1.00	1.00
15847	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	201491	0	0	0	0	0	0	1.00	1.00
15848	QRFP	pyroglutamylated RFamide peptide	72970	0	0	0	0	0	0	1.00	1.00
15849	QRFPR		409368	0	0	0	0	0	0	1.00	1.00
15850	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	528565	0	0	0	0	0	0	1.00	1.00
15851	QTRT1	queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)	329247	0	0	0	0	0	0	1.00	1.00
15852	QTRTD1	queuine tRNA-ribosyltransferase domain containing 1	427322	0	0	0	0	0	0	1.00	1.00
15853	R3HCC1	R3H domain and coiled-coil containing 1	17507	0	0	0	0	0	0	1.00	1.00
15854	R3HDM1	R3H domain containing 1	1080738	0	0	0	0	0	0	1.00	1.00
15855	RAB11A	RAB11A, member RAS oncogene family	225675	0	0	0	0	0	0	1.00	1.00
15856	RAB11FIP2	RAB11 family interacting protein 2 (class I)	499444	0	0	0	0	0	0	1.00	1.00
15857	RAB11FIP3	RAB11 family interacting protein 3 (class II)	213955	0	0	0	0	0	0	1.00	1.00
15858	RAB11FIP4	RAB11 family interacting protein 4 (class II)	348159	0	0	0	0	0	0	1.00	1.00
15859	RAB11FIP5	RAB11 family interacting protein 5 (class I)	484401	0	0	0	0	0	0	1.00	1.00
15860	RAB12	RAB12, member RAS oncogene family	169231	0	0	0	0	0	0	1.00	1.00
15861	RAB13	RAB13, member RAS oncogene family	204618	0	0	0	0	0	0	1.00	1.00
